Date,LoT,Process Rate
2021-10-07,17,96.92
2021-10-07,18,98.34
2021-10-07,19,96.08
2021-10-07,20,96.78
2021-10-07,21,97.78
2021-10-07,22,97.47
2021-10-08,1,84
2021-10-08,2,97.4
2021-10-08,3,97.95
2021-10-08,4,96.14
2021-10-08,5,96.67
2021-10-08,6,97.99
2021-10-08,7,97.04
2021-10-08,8,96.99
2021-10-08,9,97.8
2021-10-08,10,97.37
2021-10-08,11,97.17
2021-10-08,12,97.35
2021-10-08,13,96.53
2021-10-08,14,96.74
2021-10-08,15,98
2021-10-08,16,97.14
2021-10-08,17,97.79
2021-10-08,18,97.52
2021-10-08,19,97.89
2021-10-08,20,96.36
2021-10-08,21,97.06
2021-10-08,22,96.44
2021-10-12,1,97.6
2021-10-12,2,96.04
2021-10-12,3,97.67
2021-10-12,4,96.8
2021-10-12,5,97.05
2021-10-12,6,96.18
2021-10-12,7,96.3
2021-10-12,8,96.25
2021-10-12,9,97.69
2021-10-12,10,97.29
2021-10-12,11,96.65
2021-10-12,12,98.11
2021-10-12,13,96.5
2021-10-12,14,97.71
2021-10-12,15,96.81
2021-10-12,16,96.59
2021-10-12,17,98.16
2021-10-12,18,97.79
2021-10-12,19,96.36
2021-10-12,20,97.16
2021-10-12,21,97.72
2021-10-12,22,97.16
2021-10-13,1,96.53
2021-10-13,2,81.47
2021-10-13,3,82.88
2021-10-13,4,97.61
2021-10-13,5,97.48
2021-10-13,6,97.23
2021-10-13,7,96.29
2021-10-13,8,97.42
2021-10-13,9,97.74
2021-10-13,10,96.86
2021-10-13,11,96.54
2021-10-13,12,96.34
2021-10-13,13,96.38
2021-10-13,14,96.16
2021-10-13,15,97.95
2021-10-13,16,96.17
2021-10-13,17,97.01
2021-10-13,18,97.14
2021-10-13,19,96.39
2021-10-13,20,97.44
2021-10-13,21,97.62
2021-10-13,22,97.93
2021-10-14,1,81.67
2021-10-14,2,96.94
2021-10-14,3,96.03
2021-10-14,4,97.33
2021-10-14,5,97.04
2021-10-14,6,96.69
2021-10-14,7,97.28
2021-10-14,8,97.5
2021-10-14,9,97.93
2021-10-14,10,97.64
2021-10-14,11,96.25
2021-10-14,12,97.15
2021-10-14,13,96.97
2021-10-14,14,96.82
2021-10-14,15,96.77
2021-10-14,16,97.15
2021-10-14,17,96.26
2021-10-14,18,96.16
2021-10-14,19,97.42
2021-10-14,20,96.96
2021-10-14,21,96.31
2021-10-14,22,97.05
2021-10-15,1,96.21
2021-10-15,2,96.63
2021-10-15,3,97.29
2021-10-15,4,96.58
2021-10-15,5,97.88
2021-10-15,6,97.94
2021-10-15,7,96.81
2021-10-15,8,98.26
2021-10-15,9,98.2
2021-10-15,10,97.92
2021-10-15,11,98.29
2021-10-15,12,96.76
2021-10-15,13,97.05
2021-10-15,14,96.87
2021-10-15,15,97
2021-10-15,16,96.32
2021-10-15,17,96.53
2021-10-15,18,96.13
2021-10-15,19,97.01
2021-10-15,20,97.04
2021-10-15,21,96.39
2021-10-15,22,96.6
2021-10-18,1,96.26
2021-10-18,2,80.78
2021-10-18,3,96.37
2021-10-18,4,96.66
2021-10-18,5,98.3
2021-10-18,6,96.16
2021-10-18,7,97.68
2021-10-18,8,97.13
2021-10-18,9,97.28
2021-10-18,10,96.62
2021-10-18,11,96.61
2021-10-18,12,98.12
2021-10-18,13,98.16
2021-10-18,14,97.09
2021-10-18,15,98.2
2021-10-18,16,96.66
2021-10-18,17,97.76
2021-10-18,18,96.17
2021-10-18,19,96.3
2021-10-18,20,97.19
2021-10-18,21,98.4
2021-10-18,22,97.66
2021-10-19,1,82.44
2021-10-19,2,96.54
2021-10-19,3,96.07
2021-10-19,4,96.76
2021-10-19,5,98.43
2021-10-19,6,97.59
2021-10-19,7,96.09
2021-10-19,8,97.15
2021-10-19,9,96.75
2021-10-19,10,96.77
2021-10-19,11,97.35
2021-10-19,12,96.38
2021-10-19,13,96.61
2021-10-19,14,96.3
2021-10-19,15,96.01
2021-10-19,16,97.58
2021-10-19,17,97.51
2021-10-19,18,98.14
2021-10-19,19,98.06
2021-10-19,20,96.56
2021-10-19,21,97.73
2021-10-19,22,97.72
2021-10-20,1,82.59
2021-10-20,2,98.18
2021-10-20,3,96.04
2021-10-20,4,97.17
2021-10-20,5,96.6
2021-10-20,6,97.08
2021-10-20,7,97.98
2021-10-20,8,98.44
2021-10-20,9,96.98
2021-10-20,10,97.21
2021-10-20,11,97.34
2021-10-20,12,97.63
2021-10-20,13,97.36
2021-10-20,14,97.05
2021-10-20,15,96.65
2021-10-20,16,96.73
2021-10-20,17,97.21
2021-10-20,18,96.97
2021-10-20,19,98.07
2021-10-20,20,98.36
2021-10-20,21,96.35
2021-10-20,22,97.47
2021-10-21,1,96.42
2021-10-21,2,96.34
2021-10-21,3,97.53
2021-10-21,4,98.09
2021-10-21,5,97.44
2021-10-21,6,98.27
2021-10-21,7,97.59
2021-10-21,8,96.62
2021-10-21,9,96.63
2021-10-21,10,96.62
2021-10-21,11,96.17
2021-10-21,12,97.18
2021-10-21,13,98.02
2021-10-21,14,97.12
2021-10-21,15,97.46
2021-10-21,16,97.27
2021-10-21,17,96.73
2021-10-21,18,97.55
2021-10-21,19,96.6
2021-10-21,20,97.32
2021-10-21,21,97.33
2021-10-21,22,96.07
2021-10-22,1,83.19
2021-10-22,2,83.18
2021-10-22,3,96.76
2021-10-22,4,97
2021-10-22,5,96.71
2021-10-22,6,96.23
2021-10-22,7,98.1
2021-10-22,8,97.23
2021-10-22,9,97.08
2021-10-22,10,96.29
2021-10-22,11,96.39
2021-10-22,12,96.1
2021-10-22,13,97.14
2021-10-22,14,96.42
2021-10-22,15,98.05
2021-10-22,16,96.72
2021-10-22,17,97.79
2021-10-22,18,98.41
2021-10-22,19,97.15
2021-10-22,20,96.77
2021-10-22,21,96.71
2021-10-22,22,98.17
2021-10-25,1,96.3
2021-10-25,2,96.96
2021-10-25,3,98.12
2021-10-25,4,97.85
2021-10-25,5,96.64
2021-10-25,6,96.39
2021-10-25,7,97.21
2021-10-25,8,96.61
2021-10-25,9,98.11
2021-10-25,10,96.27
2021-10-25,11,96.11
2021-10-25,12,96.9
2021-10-25,13,96.58
2021-10-25,14,96.7
2021-10-25,15,98.07
2021-10-25,16,97.29
2021-10-25,17,97.73
